time,open,high,low,close,volume
1632009600,47824.33,48316.79,39558.2,42633.4,975571
1632614400,42699.0,48480.7,40755.0,48030.1,765066
1633219200,48100.0,56091.0,46928.82,54590.5,874471
1633824000,54785.3,62863.5,53951.0,61007.76,861931
1634428800,60652.26,66997.1,58928.5,61034.85,1148788
1635033600,61111.3,63717.6,57849.94,61739.9,830889
1635638400,61515.8,64308.51,59503.15,61206.08,745298
1636243200,61490.07,69040.73,61320.26,64219.45,559883
1636848000,64267.01,66339.92,55610.77,59620.05,671246
1637452800,59783.58,60055.06,53514.41,54598.09,668326
1638057600,54882.47,59243.84,41713.08,48806.06,647609
1638662400,49414.47,51955.22,46755.21,48791.55,672834
1639267200,48888.83,50792.51,45430.51,46928.88,614925
1639872000,46824.42,51910.29,45560.41,51006.27,514291
1640476800,50600.59,52116.19,45640.0,47288.44,504188
1641081600,47348.01,48007.87,40505.32,41787.71,542151
1641686400,41886.84,44455.12,39640.02,43270.01,525045
1642291200,43333.46,43508.06,36119.51,36624.26,516359
1642896000,34876.26,38922.58,32915.51,38471.19,651320
1643500800,38095.79,40918.61,36265.48,40604.26,433441
1644105600,41623.8,45839.21,41123.4,41804.22,531988
1644710400,42102.52,44774.57,39428.88,39930.76,439780
1645315200,40006.84,40267.26,34319.63,39433.67,697261
1645920000,39018.76,45295.01,36986.11,39409.26,621148
1646524800,39351.0,42581.79,37152.76,39098.76,455966
1647129600,39119.91,42389.87,37527.42,42324.45,367336
1647734400,42080.22,45133.76,40500.0,44589.26,405980
1648339200,44415.01,48230.76,44210.36,46227.13,463580
1648944000,46283.64,47446.23,42105.22,42454.63,524143
1649548800,42565.18,43433.76,39174.01,40347.73,486614
1650153600,40556.71,42992.21,38533.22,39802.01,478402
1650758400,39856.78,40801.41,37676.76,38313.73,547834
1651363200,38226.31,40028.0,35227.31,35784.0,566237
1651968000,35185.92,35745.81,25277.01,29314.01,932623
1652572800,29594.81,31393.13,28598.56,29352.51,633391
1653177600,29338.13,30640.26,27958.39,28994.01,548283
1653782400,28942.66,32372.76,28805.51,29710.01,488286
1654387200,29828.02,31736.26,28070.7,28443.14,576445
1654992000,28520.54,28651.51,17573.37,17632.01,1018410
1655596800,18517.26,21699.23,17915.13,21201.51,793567
1656201600,21469.63,21865.01,18582.78,19237.5,632597
1656806400,19327.21,22479.8,18748.31,21660.5,707219
1657411200,21689.07,21733.29,18900.19,21144.38,1006971
1658016000,21156.66,24269.06,20744.05,22324.61,1183991
1658620800,22262.9,24678.38,20718.3,23953.88,1041731
1659225600,23580.65,24183.33,22381.84,23154.71,957411
1659830400,23182.28,24914.64,22652.5,24493.53,855155
1660435200,24477.87,25206.69,20774.42,20820.3,1068046
1661040000,21180.19,21899.53,19761.0,19959.88,964504
1661644800,19886.39,20566.51,19508.82,19723.48,1027326
1662249600,19761.73,21667.21,18513.17,21383.03,975482
1662854400,21644.48,22779.99,19320.8,20058.83,1163846
1663459200,20035.95,20136.71,18139.05,19136.96,1235474
1664064000,18917.41,20374.0,18464.19,19246.83,1177762
1664668800,19278.36,20467.51,18911.5,19440.03,1010738
1665273600,19278.16,19943.93,18103.96,19091.58,1267007
1665878400,19052.66,19697.46,18636.0,19211.98,1207589
1666483200,19188.88,21072.95,19062.66,20855.88,1264782
1667088000,20835.79,21471.45,20026.86,21345.13,1151922
1667692800,21317.6,21357.53,15531.26,16789.25,1668088
1668297600,16793.75,17156.81,15783.5,16648.25,1385140
1668902400,16737.14,16790.75,15444.42,16504.75,1252394
1669507200,16437.75,17300.41,15994.75,16938.0,782582
1670112000,16908.22,17431.67,16680.75,17131.5,750744
1670716800,17141.5,18375.75,16521.81,16693.75,852831
1671321600,16736.05,17054.25,16246.3,16817.35,757272
1671926400,16806.95,16960.05,16327.5,16541.15,170209
1672531200,16495.65,17025.1,16478.65,16933.05,168289
1673136000,16923.85,21493.26,16900.55,20874.55,566414
1673740800,21058.25,23367.5,20396.24,23178.5,971866
1674345600,22942.56,23816.62,22309.59,23004.0,888845
1674950400,22974.5,24256.5,22479.56,23413.25,869467
1675555200,23422.5,23444.25,21462.99,21829.0,742332
1676160000,21833.75,25253.63,21360.25,24622.0,944532
1676764800,24636.5,25266.75,22707.0,22880.95,1400086
1677369600,23139.95,24014.29,21968.9,22200.75,773343
1677974400,22326.5,22655.25,19544.12,20492.25,897049
1678579200,20526.25,27833.8,20417.51,27425.3,1125856
1679184000,27283.25,28943.67,26647.61,27384.5,949293
1679788800,27473.53,29171.67,26500.0,28468.5,700252
1680393600,28498.75,28791.99,27365.19,27941.25,648957
1680998400,27924.31,31053.25,27808.25,30322.0,762331
1681603200,30312.5,30579.0,27128.25,27667.75,835622
1682208000,27668.63,30018.57,26939.97,29226.25,925972
1682812800,29228.25,29961.75,27690.0,28847.75,857980
1683417600,28835.25,29184.0,25800.0,26908.25,1017358
1684022400,26878.5,27680.0,26346.96,27016.51,768712
1684627200,27030.75,27491.5,25844.2,26739.75,777258
1685232000,26788.25,28460.25,26502.25,27072.25,788164
1685836800,27043.25,27466.5,25341.5,25791.5,808016
1686441600,25789.25,26805.0,24751.08,26529.0,1287333
1687046400,26530.0,31424.0,26243.8,30561.61,1792655
1687651200,30538.14,31264.15,29438.24,30579.15,1850544
1688256000,30571.55,31544.65,29678.71,30131.95,412014
1688860800,30146.85,31833.64,29873.35,30288.95,419937
1689465600,30265.15,30432.67,29398.84,29819.25,340647
1690070400,29811.05,30354.62,28844.75,29337.55,259667
1690675200,29346.05,30026.14,28544.35,29035.55,261315
1691280000,29049.85,30234.7,28680.26,29406.75,214089
1691884800,29406.15,29680.65,24665.2,26045.45,334458
1692489600,26034.55,26799.95,25282.64,26015.65,331152
1693094400,26021.55,28147.34,25306.85,25822.85,361120
1693699200,25830.95,26430.25,25331.62,25849.85,265707
1694304000,25863.75,26878.22,24884.09,26508.55,464101
1694908800,26552.55,27470.83,26357.14,26565.95,360900
1695513600,26550.85,27301.86,25974.05,27052.45,334489
1696118400,26990.25,28593.95,26933.05,27904.25,489425
1696723200,27930.65,28075.95,26519.05,26824.35,459429
1697328000,26807.85,30580.84,26785.75,29974.25,451767
1697932800,30005.75,35595.0,29604.95,34113.55,847706
1698537600,34170.65,35992.9,33934.5,34749.14,593859
1699142400,34843.95,38176.35,34373.24,36971.15,836320
1699747200,36868.5,37992.95,34548.84,36549.95,841776
1700352000,36515.05,38418.95,35605.11,37761.05,747389
1700956800,37733.85,39891.65,36694.05,39646.15,582290
1701561600,39353.95,44773.25,39249.25,44011.95,669990
1702166400,43918.95,44093.35,40227.4,42315.55,734105
1702771200,42319.15,44462.54,40553.95,43794.85,760011
1703376000,43783.25,43988.65,41283.2,42299.85,653497
1703980800,42211.55,45935.76,40331.45,43841.15,976440
1704585600,43789.36,49005.71,41367.95,42918.45,1235436
1705190400,42947.25,43578.55,40294.05,41761.85,841632
1705795200,41788.05,42227.95,38542.51,42112.35,803676
1706400000,42080.85,43880.85,41594.05,43017.85,676989
1707004800,43045.27,48220.12,42179.26,47900.35,698653
